,Features,Coefficient,Coef
0,summit_elev,6.668544590681508e-15,
1,vertical_drop,1.1490810196843423e-14,
2,trams,0.0,
3,fastEight,-8.881784197001252e-16,
4,fastSixes,-1.3322676295501878e-15,
5,fastQuads,-1.5008483126864499e-15,
6,quad,5.355571300937237e-15,
7,triple,-6.14096444012526e-15,
8,double,3.0318208794908166e-15,
9,surface,4.138217496678065e-15,
10,total_chairs,-2.714136598935538e-15,
11,Runs,3.17077248487283e-15,
12,TerrainParks,-9.052155295067e-15,
13,LongestRun_mi,-1.2809418419353066e-14,
14,SkiableTerrain_ac,3.66508386399985e-15,
15,Snow Making_ac,2.6801938902480088e-15,
16,daysOpenLastYear,7.616556573682426e-15,
17,yearsOpen,3.794655172222537e-15,
18,averageSnowfall,-3.871042998449868e-15,
19,AdultWeekday,-2.280498837893269e-15,
20,AdultWeekend,16.03915037458344,
21,projectedDaysOpen,-9.686805442219744e-15,
22,NightSkiing_ac,-5.724416887408393e-15,
23,clusters,-8.010174421557326e-15,
24,R2 Score,,1.0
25,MAE,,2.1519294283020176e-14
26,Exp Var Score,,1.0
